DATE,Metal,WTI oil,Copper,Housing index,Lumber 
1/1/2005,25.59009,40.98516,14.14365,3.50849,6.16617
4/1/2005,9.61497,38.38595,14.73889,4.15058,-4.18782
7/1/2005,-4.51186,43.82125,24.91189,4.97194,-8.7293
10/1/2005,-4.83484,24.27546,48.96962,4.99819,-2.10793
1/1/2006,-1.377,27.44099,41.21975,5.69571,-1.47662
4/1/2006,8.59498,32.96676,86.83468,5.64017,-2.03642
7/1/2006,18.41141,11.67301,88.48528,5.50587,-6.41004
10/1/2006,11.20807,0.09994,35.16828,5.70836,-10.64599
1/1/2007,11.58491,-8.23511,14.87524,5.85737,-11.54038
4/1/2007,12.0889,-7.88317,-3.33199,5.95896,-10.46138
7/1/2007,3.99037,7.17835,-9.76705,4.76393,-3.93187
10/1/2007,3.99303,51.1815,-1.3927,4.12015,-2.50627
1/1/2008,9.77342,68.50737,16.13558,3.37068,-8.18901
4/1/2008,29.82428,90.80088,8.71603,1.95474,-5.19064
7/1/2008,42.4909,56.26932,6.05495,1.27017,-5.52622
10/1/2008,7.4782,-35.75124,-16.92703,0.6999,-6.86178
1/1/2009,-14.2329,-56.14238,-34.78574,1.2936,-9.02194
4/1/2009,-36.76891,-51.96698,-30.69923,0.32918,-13.73681
7/1/2009,-35.12478,-42.1924,-19.87487,-0.31244,-9.18347
10/1/2009,-9.03276,30.31809,14.00052,-0.7485,-2.10191
1/1/2010,14.40374,83.02297,52.74188,-2.52334,11.06604
4/1/2010,37.66693,30.81229,34.95508,-1.78682,21.37087
7/1/2010,20.02147,11.67587,18.83846,-0.19701,9.1009
10/1/2010,15.52049,11.77914,26.78793,-0.38605,6.87486
1/1/2011,16.45212,19.52688,21.52069,-1.20623,3.02354
4/1/2011,9.91441,31.66431,20.27857,-1.77419,-4.94391
7/1/2011,14.83304,17.78118,21.23203,-1.55227,0.58432
10/1/2011,12.26247,10.62804,-4.22385,-1.01843,-0.10146
1/1/2012,2.95228,9.48429,-9.51694,0.37955,-1.59543
4/1/2012,-3.72485,-8.84743,-12.95129,1.57643,3.94079
7/1/2012,-9.25613,2.85364,-13.78726,1.60408,4.30689
10/1/2012,-9.54774,-6.27591,-5.29401,2.26724,7.55637
1/1/2013,-10.59316,-8.29986,-4.93526,3.07503,18.31465
4/1/2013,-9.19385,0.79518,-5.84955,4.217,15.76212
7/1/2013,-3.51931,14.68878,-6.39489,5.09508,11.63818
10/1/2013,0.33626,10.41667,-7.87897,5.51129,15.27856
1/1/2014,3.13415,4.65626,-7.04698,6.49695,8.88175
4/1/2014,4.02316,9.68267,-5.23636,7.36335,7.84705
7/1/2014,3.73665,-7.60072,-1.6476,7.4044,11.97316
10/1/2014,-0.8014,-24.84334,-1.77029,7.45116,4.06291
1/1/2015,-9.57114,-50.84391,-9.02527,7.28337,-3.29397
4/1/2015,-14.4427,-44.02658,-5.1968,7.16163,-7.55357
7/1/2015,-16.85249,-52.52949,-12.68673,7.54162,-9.58673
10/1/2015,-22.31199,-42.65992,-16.30659,7.2643,-8.56423
1/1/2016,-18.15327,-31.63714,-13.62045,7.20282,-6.0572
4/1/2016,-4.82068,-21.50513,-16.22528,7.2717,1.4674
7/1/2016,-0.32663,-3.37522,-12.46487,7.15315,4.75786
10/1/2016,8.1679,17.13151,-0.42807,7.3727,5.28581
1/1/2017,19.99233,56.00201,8.6745,7.24209,6.89242
4/1/2017,12.09253,6.23991,12.09277,7.69339,6.86935
7/1/2017,11.36599,7.38759,20.14519,7.1963,7.0073
10/1/2017,10.67995,12.67892,16.28452,6.94146,9.861
1/1/2018,6.68372,21.481,11.88611,6.9852,12.416
4/1/2018,11.88243,41.03096,15.09852,6.11485,14.13194
7/1/2018,13.64411,44.83355,7.56449,5.81253,7.27603
10/1/2018,16.32975,6.70078,-0.11203,5.24118,-5.53736
1/1/2019,7.1193,-12.81671,-1.6224,5.0478,-9.00939
4/1/2019,-4.09447,-12.12641,-2.91034,4.70049,-15.25195
7/1/2019,-11.82884,-19.19052,-4.18062,4.72716,-11.02162
10/1/2019,-15.9924,-3.58856,-0.67295,5.12253,-1.21336
1/1/2020,-11.59927,-16.54304,-0.39535,4.96093,1.1888
4/1/2020,-10.86988,-53.48759,-6.00617,3.88381,1.8442
7/1/2020,-6.25966,-27.4555,4.56032,4.13353,32.33286
10/1/2020,4.91273,-25.4638,9.82385,5.57893,36.70442
1/1/2021,25.02374,26.29854,18.9839,6.74882,59.20544
