DATE,Steel,TWI oil ,copper
1/1/2005,181.2,46.84,170.3
2/1/2005,179.8,47.97,169.4
3/1/2005,176.4,54.31,176.8
4/1/2005,176.9,53.04,176.2
5/1/2005,170.7,49.83,175.5
6/1/2005,162,56.26,180
7/1/2005,160,58.7,185.2
8/1/2005,161.8,64.97,189.4
9/1/2005,169.2,65.57,192.5
10/1/2005,168,62.37,214.6
11/1/2005,173.9,58.3,233.4
12/1/2005,173.8,59.43,253.2
1/1/2006,174.7,65.51,245.2
2/1/2006,177.2,61.63,242.6
3/1/2006,178.1,62.9,241.6
4/1/2006,180.7,69.69,258.4
5/1/2006,183.7,70.94,348
6/1/2006,189,70.96,387
7/1/2006,193.9,74.41,370.2
8/1/2006,192.2,73.05,362.2
9/1/2006,195.3,63.87,336.5
10/1/2006,194.9,58.88,322.1
11/1/2006,189,59.37,313.2
12/1/2006,189.6,62.03,312.5
1/1/2007,190,54.57,284.4
2/1/2007,195.9,59.26,274.6
3/1/2007,205.5,60.56,278.9
4/1/2007,209.2,63.97,313.5
5/1/2007,205.8,63.46,326.6
6/1/2007,205.3,67.48,320.2
7/1/2007,204.3,74.18,327.9
8/1/2007,200.5,72.39,322.9
9/1/2007,199.8,79.93,313.7
10/1/2007,198,86.2,337.5
11/1/2007,197.8,94.62,306
12/1/2007,200.6,91.73,291.1
1/1/2008,210,92.95,310
2/1/2008,215.2,95.35,321.4
3/1/2008,224,105.56,341.7
4/1/2008,250.6,112.57,355.4
5/1/2008,270.6,125.39,350.2
6/1/2008,284.1,133.93,338.4
7/1/2008,293.1,133.44,356.6
8/1/2008,294.4,116.61,340.3
9/1/2008,274,103.9,326
10/1/2008,236,76.65,296.8
11/1/2008,209.4,57.44,249.7
12/1/2008,195.6,41.02,229.9
1/1/2009,191.6,41.74,213.1
2/1/2009,185.4,39.16,214.7
3/1/2009,179.8,47.98,206.8
4/1/2009,168.9,49.79,235.3
5/1/2009,169.2,59.16,240.7
6/1/2009,171.1,69.68,247.5
7/1/2009,178.2,64.09,250.3
8/1/2009,187,71.06,284.2
9/1/2009,193.7,69.46,285.1
10/1/2009,196.1,75.82,287.2
11/1/2009,191.3,78.08,289.1
12/1/2009,195.7,74.3,308.8
1/1/2010,205.6,78.22,333.3
2/1/2010,210.8,76.42,307.2
3/1/2010,220.6,81.24,328.8
4/1/2010,232,84.48,343.6
5/1/2010,235.5,73.84,320.8
6/1/2010,233.5,75.35,312
7/1/2010,224.8,76.37,309.4
8/1/2010,221.9,76.82,329.6
9/1/2010,224.1,75.31,335
10/1/2010,222.7,81.9,355.3
11/1/2010,222.6,84.14,373.5
12/1/2010,228.3,89.04,393.4
1/1/2011,239.8,89.42,395.7
2/1/2011,248.7,89.58,398.2
3/1/2011,253.3,102.94,384
4/1/2011,257.5,110.04,416
5/1/2011,256.6,101.33,376.2
6/1/2011,256.4,96.29,382.2
7/1/2011,256.9,97.19,404
8/1/2011,256.5,86.33,393.9
9/1/2011,256.9,85.61,382.9
10/1/2011,255.2,86.41,356.2
11/1/2011,248.9,97.21,363
12/1/2011,252.1,98.57,355.6
1/1/2012,256.5,100.24,340.2
2/1/2012,253.8,102.25,363.2
3/1/2012,253.4,106.19,362.4
4/1/2012,252.3,103.33,349.7
5/1/2012,250.5,94.7,345.1
6/1/2012,239,82.41,327.5
7/1/2012,232.1,87.93,340.6
8/1/2012,233.2,94.16,333.6
9/1/2012,233.7,94.72,343.8
10/1/2012,224.8,89.57,344.7
11/1/2012,228.9,86.66,331.1
12/1/2012,230.3,88.25,342.1
1/1/2013,228,94.69,340.5
2/1/2013,226,95.32,343.3
3/1/2013,228.8,93.05,329.4
4/1/2013,228.1,92.07,326.9
5/1/2013,223.3,94.8,318.8
6/1/2013,222.2,95.8,316.8
7/1/2013,225.3,104.61,314.3
8/1/2013,225.2,106.57,322.7
9/1/2013,223.9,106.29,315.9
10/1/2013,224.9,100.54,314
11/1/2013,228.9,93.86,312.3
12/1/2013,232.5,97.63,311.4
1/1/2014,238,94.62,320.2
2/1/2014,234.9,100.82,310.4
3/1/2014,231.3,100.8,311.2
4/1/2014,234.6,102.07,303.2
5/1/2014,233.5,102.18,306
6/1/2014,232.6,105.79,302.9
7/1/2014,232.7,103.59,310.5
8/1/2014,233,96.54,313.2
9/1/2014,233.9,93.21,313.5
10/1/2014,230.5,84.4,310.9
11/1/2014,226.3,75.79,304.8
12/1/2014,224,59.29,305.4
1/1/2015,222.4,47.22,291.7
2/1/2015,209.2,50.58,285
3/1/2015,205.2,47.82,280.1
4/1/2015,200.9,54.45,281.9
5/1/2015,198.3,59.27,298.2
6/1/2015,200.3,59.82,284.6
7/1/2015,198.2,50.9,277.9
8/1/2015,193,42.87,271.1
9/1/2015,190.5,45.48,269.3
10/1/2015,181.5,46.22,264.9
11/1/2015,175.2,42.44,258.1
12/1/2015,172.2,37.19,247.9
1/1/2016,173.1,31.68,243
2/1/2016,172.7,30.32,244.8
3/1/2016,175.4,37.55,252.3
4/1/2016,184.3,40.75,245.6
5/1/2016,192.9,46.71,246.3
6/1/2016,193.4,48.76,232.5
7/1/2016,193.6,44.65,240.6
8/1/2016,195,44.72,240.9
9/1/2016,191.2,45.18,234.8
10/1/2016,186.4,49.78,251.4
11/1/2016,189.3,45.66,251.4
12/1/2016,196.4,51.97,264.8
1/1/2017,204.8,52.5,261.8
2/1/2017,207.3,53.47,274.3
3/1/2017,213.3,49.33,268.2
4/1/2017,212,51.06,271.2
5/1/2017,213.7,48.48,270.8
6/1/2017,213.9,45.18,270
7/1/2017,215.9,46.63,278.7
8/1/2017,214.1,48.04,288.1
9/1/2017,215.7,49.82,293.8
10/1/2017,211.5,51.58,295.1
11/1/2017,208.8,56.64,294.7
12/1/2017,212.9,57.88,302.8
1/1/2018,217.6,63.7,295.2
2/1/2018,222.1,62.23,303.7
3/1/2018,227.5,62.73,301
4/1/2018,234.1,66.25,311.4
5/1/2018,239,69.98,308.1
6/1/2018,242.5,67.87,315.1
7/1/2018,244.3,70.98,321.1
8/1/2018,244.8,68.06,317.8
9/1/2018,244.7,70.23,286.8
10/1/2018,244.1,70.75,296
11/1/2018,246.7,56.96,297.4
12/1/2018,245.8,49.52,298.2
1/1/2019,240.4,51.38,296.8
2/1/2019,235.7,54.95,297.5
3/1/2019,238.6,58.15,291
4/1/2019,234,63.86,308.7
5/1/2019,229.8,60.83,306.4
6/1/2019,222.5,54.66,292.3
7/1/2019,216.9,57.35,297.5
8/1/2019,217.8,54.81,295.5
9/1/2019,212.3,56.95,294
10/1/2019,206.4,53.96,293.4
11/1/2019,205.1,57.03,295.9
12/1/2019,207.3,59.88,296.3
1/1/2020,212.1,57.52,302.1
2/1/2020,209.1,50.54,294.1
3/1/2020,210.6,29.21,285.6
4/1/2020,204.7,16.55,281.8
5/1/2020,203.5,28.56,284
6/1/2020,203.5,38.31,287.1
7/1/2020,200.9,40.71,.
8/1/2020,200.4,42.34,306.5
9/1/2020,205.2,39.63,311.8
10/1/2020,207.4,39.4,313.2
11/1/2020,211.1,40.94,322.9
12/1/2020,230.7,47.02,336.5
1/1/2021,245.1,52,339.9
2/1/2021,255.2,59.04,347.5
3/1/2021,289.6,62.33,361.8
4/1/2021,322.8,61.72,369
5/1/2021,.,65.17,.
