DATE,WPU081
1/1/2010,157.2
2/1/2010,166.4
3/1/2010,169.2
4/1/2010,175.8
5/1/2010,180
6/1/2010,170.1
7/1/2010,167.4
8/1/2010,165
9/1/2010,163.9
10/1/2010,162.6
11/1/2010,163.8
12/1/2010,166.4
1/1/2011,169
2/1/2011,168.7
3/1/2011,170
4/1/2011,168.7
5/1/2011,165.9
6/1/2011,165.3
7/1/2011,165.9
8/1/2011,167.7
9/1/2011,165.6
10/1/2011,165
11/1/2011,163.2
12/1/2011,164.1
1/1/2012,164.1
2/1/2012,166.2
3/1/2012,169.3
4/1/2012,170.1
5/1/2012,174.8
6/1/2012,174.7
7/1/2012,170.7
8/1/2012,175.2
9/1/2012,174.8
10/1/2012,170.6
11/1/2012,177
12/1/2012,181.9
1/1/2013,190.9
2/1/2013,196.1
3/1/2013,204.1
4/1/2013,208.4
5/1/2013,200.7
6/1/2013,192.4
7/1/2013,190.5
8/1/2013,194.5
9/1/2013,196.3
10/1/2013,200.4
11/1/2013,204.6
12/1/2013,205.4
1/1/2014,210.5
2/1/2014,214.8
3/1/2014,218.3
4/1/2014,215.3
5/1/2014,217.1
6/1/2014,216.3
7/1/2014,215.6
8/1/2014,216.6
9/1/2014,218.7
10/1/2014,214
11/1/2014,211.2
12/1/2014,210
1/1/2015,210
2/1/2015,207.8
3/1/2015,204.6
4/1/2015,202.8
5/1/2015,198.7
6/1/2015,198.2
7/1/2015,200.1
8/1/2015,196.6
9/1/2015,191.8
10/1/2015,192.3
11/1/2015,195.4
12/1/2015,193.1
1/1/2016,194.1
2/1/2016,193.8
3/1/2016,196.8
4/1/2016,201.7
5/1/2016,203.2
6/1/2016,203.6
7/1/2016,204.8
8/1/2016,206.3
9/1/2016,205.4
10/1/2016,204.9
11/1/2016,203.5
12/1/2016,203.1
1/1/2017,203.1
2/1/2017,210.1
3/1/2017,211.8
4/1/2017,215.9
5/1/2017,218.3
6/1/2017,216.1
7/1/2017,216.9
8/1/2017,222.1
9/1/2017,220.7
10/1/2017,223.6
11/1/2017,224.6
12/1/2017,223.6
1/1/2018,225.3
2/1/2018,237
3/1/2018,240.3
4/1/2018,238.4
5/1/2018,249.3
6/1/2018,254.5
7/1/2018,248
8/1/2018,231.7
9/1/2018,228
10/1/2018,214.2
11/1/2018,209.2
12/1/2018,211.2
1/1/2019,210
2/1/2019,215.8
3/1/2019,213.5
4/1/2019,212.6
5/1/2019,210.8
6/1/2019,205.6
7/1/2019,209.9
8/1/2019,208.9
9/1/2019,210.9
10/1/2019,208.6
11/1/2019,208.3
12/1/2019,210
1/1/2020,209.6
2/1/2020,215.2
3/1/2020,222.1
4/1/2020,204.5
5/1/2020,211
6/1/2020,225.1
7/1/2020,241.1
8/1/2020,270.2
9/1/2020,322
10/1/2020,301.3
11/1/2020,264.2
12/1/2020,291.5
1/1/2021,320.9
2/1/2021,341.9
3/1/2021,367.1
4/1/2021,388
